artista,resumen,popularidad,reproducciones,similares
Ol' Dirty Bastard,"Russell Tyrone Jones (November 15, 1968 – November 13, 2004) was an American rapper from New York known by the stage name Ol' Dirty Bastard (often shortened to ODB by mainstream media) since 1988. He was one of the founding members of the hip hop group Wu-Tang Clan.

Ol' Dirty Bastard simultaneously brought a measure of humor and a touch of the absurd to the Wu-Tang Clan. Often noted for his unusual mic technique (critic Steve Huey writes of Jones's ""outrageously profane <a href=""https://www.last.fm/music/Ol%27+Dirty+Bastard"">Read more on Last.fm</a>",894459,10445915,"['Method Man', 'Ghostface Killah', 'Wu-Tang Clan', 'Raekwon', 'GZA/Genius']"
Pluside," <a href=""https://www.last.fm/music/Pluside"">Read more on Last.fm</a>",36,165,"['Doowachalike', 'Deego', 'Copy Con', 'Interfunk', 'Hösök']"
Shamrock,"1) The Shamrock is a nine-piece Croatian band from Rijeka that plays Irish/Celtic folk-Punk rock, formed in 2007. The first album, entitled ""..otom potom.."", was released in June 2008, and was a mixture of traditional and self-written songs. Their first concert under the name of The Shamrock was at the Kastav Rock-Festival in Kastav, August 2008. Their influences include The Dubliners, Wolfe Tones, Orthodox Celts, Flogging Molly, Dropkick Murphies and Irish & Slavic Folk music. <a href=""https://www.last.fm/music/Shamrock"">Read more on Last.fm</a>",24405,181586,"['The Corrs', '6CycleMind', 'Sponge Cola', 'Rivermaya', 'Kamikazee']"
Nelly,"Cornell Iral Haynes, Jr. (born November 2, 1974 in Austin, Texas), better known by his stage name Nelly, is an American rapper, singer, actor and entrepreneur signed to Universal and Derrty Records. Born to a half Tunisian father and American mother, he has been active since 1993 as a bandmate of the rap group St. Lunatics, and became a hip-hop superstar after the success of his solo release, Country Grammar, in 2000. The album peaked at #1 on the Billboard 200, spawned multiple chart toppers and won three Grammy awards. <a href=""https://www.last.fm/music/Nelly"">Read more on Last.fm</a>",2931255,31343627,"['Ja Rule', 'Ludacris', 'Chingy', 'Murphy Lee', 'Bow Wow']"
Mood Ruff,"Mood Ruff was a conscious hip-hop group hailing from Winnipeg, Manitoba, Canada. The group consisted of Odario, Spitz, Breakz, and ICQRI. Their final album I Do My Own Stunts, was released in 2005, contained their first hit, ""Rocketship"". 

Odario and Spitz, met at Kelvin High School in Winnipeg. In the early 1990s the two members started recording their first demos on a karaoke machine in Spitz’s basement. They first started playing their music live in 1994, in small clubs around Toronto. <a href=""https://www.last.fm/music/Mood+Ruff"">Read more on Last.fm</a>",2893,14408,"['Birdapres', 'Farm Fresh', 'mcenroe & Birdapres', 'Theology 3', 'Pip Skid']"
Herbie Hancock,"Herbert Jeffrey Hancock (born April 12, 1940) is a jazz  pianist and composer from Chicago, Illinois, United States. Hancock is one of jazz music's most important and influential pianists and composers. He embraced elements of rock, funk, and soul while adopting freer stylistic elements from jazz.

As part of Miles Davis' ""second great quintet"" Hancock helped redefine the role of a jazz rhythm section, and was later one of the first jazz musicians to embrace synthesizers and Jazz funk. <a href=""https://www.last.fm/music/Herbie+Hancock"">Read more on Last.fm</a>",1372260,19366105,"['Wayne Shorter', 'Miles Davis', 'Freddie Hubbard', 'Lee Morgan', 'Weather Report']"
Zoé,"There are, at least, three artists known as Zoé: 1) A Mexican rock band. 2) An aka of Zoë Pollock (also, aka Zoë). 3) A French-speaking variétés françaises singer.

1) A Mexican rock band, that's not not afraid of experimenting, with a modern sound, an eclectic style, some British influences & overall, their music's sophisticated without loss of rock energy. Their lyrics cover many subjects / feelings, with the same level of sophistication that their music shows, plus honesty. <a href=""https://www.last.fm/music/+noredirect/Zo%C3%A9"">Read more on Last.fm</a>",375198,18890393,"['León Larregui', 'Enjambre', 'Caifanes', 'DLD', 'Porter']"
Canibus,"Born Germaine Williams in 1974 in Jamaica, Canibus moved to the United States with his mother at a young age. Because his mother's career required constant relocation, the family moved frequently and the soon-to-be rapper found solace within himself. His rhetorical abilities blossomed later, once hip-hop became the guiding force in his life. He began rhyming and in the mid-'90s joined a group called T.H.E.M. (The Heralds of Extreme Metaphors.)

This group consisted also of his partner Webb. <a href=""https://www.last.fm/music/Canibus"">Read more on Last.fm</a>",161650,2138979,"['M.O.P.', 'Kool G Rap', 'Chino XL', 'Joell Ortiz', 'Jedi Mind Tricks']"
Mulgrew Miller,"Mulgrew Miller is an American jazz pianist born in 1955 in Greenwood, Mississippi who performs in a number of jazz idioms.

In a childhood filled with early musical experiences, mostly playing gospel music in his church and R&B and blues at dances. Mulgrew was constantly meddling in jazz piano, and established a trio in high school that would play cocktail parties. Miller admits that they didn't really know what they were doing and were merely ""approaching jazz"". <a href=""https://www.last.fm/music/Mulgrew+Miller"">Read more on Last.fm</a>",100934,417607,"['Hank Jones', 'Joe Lovano', 'Fred Hersch', 'Kenny Barron', 'Gonzalo Rubalcaba']"
The Crusaders,"There are several artists named The Crusaders;

1) The Crusaders were an American jazz fusion group that was successful from the 1960s to the 1980s. The group was known as The Jazz Crusaders from its formation in 1960 until shortening its name in 1971.

High school friends Joe Sample (piano), Wilton Felder (tenor saxophone) and Nesbert ""Stix"" Hooper (drums) formed their first band together, the Swingsters, in Houston, Texas in 1954. They played a mixture of jazz and R&B <a href=""https://www.last.fm/music/The+Crusaders"">Read more on Last.fm</a>",198743,1590774,"['Joe Sample', 'George Duke', 'Bob James', 'Ronnie Laws', 'The Jazz Crusaders']"
Count Bass D,"Dwight Conroy Farrell (born August 25, 1973), better known by his stage name Count Bass D, is an American rapper, record producer and multi-instrumentalist who resides in Millheim, Pennsylvania. His production style is characterised by layers of short MPC samples and film snippets complemented with live instrumentation, and eccentric lyrics laid atop.

Some people DJ, others make beats. Heads everywhere spit lyrics—either off the dome or noted, and many are even recognized as true MC’s who actually manage to rock a crowd here & there. <a href=""https://www.last.fm/music/Count+Bass+D"">Read more on Last.fm</a>",284538,3133021,"['MF Grimm', 'KMD', 'King Geedorah', 'Reflection Eternal', 'Peanut Butter Wolf']"
Robbie Williams,"Robert Peter Williams (born 13 February 1974) is an English singer and songwriter. He found fame as a member of the pop group Take That from 1990 to 1995, and achieved commercial success after launching a solo career in 1996. His debut studio album, Life thru a Lens, was released in 1997, and included his signature song, ""Angels"". His second album, I've Been Expecting You, featured the songs ""Millennium"" and ""She's the One"", his first number one singles. <a href=""https://www.last.fm/music/Robbie+Williams"">Read more on Last.fm</a>",2459875,56112774,"['Take That', 'Gary Barlow', 'Robbie Williams & Kylie Minogue', 'Robbie Williams & Nicole Kidman', 'Mark Owen']"
Chiara Civello,"“Songs are like trains; they take you from one place to another.  This collection of songs, I think, is my train home,” says Chiara Civello, in describing her second album, The Space Between.

Sultry voice, poetic lyrics and surprising harmonies are just a part of the recipe that makes Chiara's music so irresistible.

The distance she has traveled is both musical and spiritual-literally stretching across the Atlantic Ocean. Born in Rome, Chiara <a href=""https://www.last.fm/music/Chiara+Civello"">Read more on Last.fm</a>",50919,418179,"['Laura Fygi', 'Fred Buccini', 'Нино Катамадзе & Insight', 'Matteo Brancaleoni', 'Sarah Menescal']"
The Strokes,"The Strokes are an alternative rock band, known for their distinctive sound and cultural impact, particularly in the early 2000s.

Members
Julian Casablancas (vocals), Nick Valensi (guitar), Albert Hammond Jr. (guitar), Nikolai Fraiture (bass), and Fabrizio Moretti (drums)

Formation
The founding process of The Strokes was a serendipitous convergence of childhood connections and a shared musical vision. Julian Casablancas, Fabrizio Moretti, and Nick Valensi, childhood friends with varying musical experiences, came together in the late '90s. <a href=""https://www.last.fm/music/The+Strokes"">Read more on Last.fm</a>",4947722,360065303,"['The Voidz', 'Julian Casablancas', 'Albert Hammond, Jr.', 'Arctic Monkeys', 'Alex Turner']"
Mr Del," <a href=""https://www.last.fm/music/+noredirect/Mr+Del"">Read more on Last.fm</a>",96,572,[]
Guasones,"Guasones is a rock band from La Plata, Argentina. 

Formed in 1992, the band members are Facundo Soto (vocals and guitar), Jose Tedesco (guitar), Maximiliano Timczyszyn (guitar), Esteban Monti (bass), Damián Celedón (drums), Fernando Muto (percussions) and Juan Manuel Puente (keyboards).

The story began on 1992, when a couple of friends gather just to have some fun, Cindy Lauper kindastyle. Performing in pubs for years, they slowly but surely managed to build a base of unconditional fans. <a href=""https://www.last.fm/music/Guasones"">Read more on Last.fm</a>",38541,656846,"['Estelares', 'Turf', 'Callejeros', 'La Mancha De Rolando', 'Los Piojos']"
Philippe Cohen Solal,"One of the three musicians that formed Gotan Project back in 1999, a musical group based in Paris. Philippe is French.

His music is based on Argentinian Tango, but also uses electronic elements such as samples, beats and breaks.

Philippe Cohen Solal has also released a DJ set: Inspiración Espiración - A Gotan Project DJ Set Selected & Mixed by Philippe Cohen Solal (2004). The album is a compilation of classic tangos from the likes of Anibal Troilo and Astor Piazzolla and Gotan Project remixes. <a href=""https://www.last.fm/music/Philippe+Cohen+Solal"">Read more on Last.fm</a>",18079,80476,"['Antony and the Johnsons', ""Ben l'Oncle Soul"", 'Eddy Mitchell', 'Tété', 'Féfé']"
Joosuc,"Joosuc (주석) is a Korean hip-hop artist.

He started to gain popularity in the early 2000's most notably for his work in the MP HipHop compilation series. He often rapped about unique topics and had a interesting form of delivery. He also featured on many other artist's albums and has become something of a minor icon in the industry.

However he is reported to have a very abrasive personality as there has been a fair amount of 'beef' between him and other Hip Hop artists.  <a href=""https://www.last.fm/music/JoosuC"">Read more on Last.fm</a>",1408,13596,[]
Peter Grant,"Peter Grant is a British singer who achieved success in early 2006 with his debut album New Vintage.

He began singing at around the age of six or seven and played at working men's clubs from the age of 13.

His first album New Vintage was released in April 2006 and entered at number 8 in the British album charts, largely thanks to his chat show appearances with Michael Parkinson and Davina McCall. His second album Traditional was released on 17 September 2007. <a href=""https://www.last.fm/music/Peter+Grant"">Read more on Last.fm</a>",11781,66925,"['Tom Gaebel', 'Немного Нервно', 'Matt Dusk', 'Laura Fygi', 'Tape Five']"
The Game,"The Game is the name of more than one artist:
1) rapper
2) British 60s band
3) French new wave band

1. Jayceon Terrell Taylor (born November 29, 1979 in Compton, California, United States), better known by his stage name Game, formerly known as The Game, is an American Grammy Award winning gangsta rapper signed to Aftermath Entertainment through his own label Black Wall Street Records, with which he founded with his half brother Big Fase 100. He rose to fame in 2005 with the success of his debut album <a href=""https://www.last.fm/music/The+Game"">Read more on Last.fm</a>",2862662,46977810,"['T.I.', 'Lloyd Banks', 'G-Unit', 'Young Buck', '50 Cent']"
Slipknot,"Slipknot are an American nu metal band from Des Moines, Iowa. It was formed in 1995 by percussionist Shawn Crahan, drummer Joey Jordison and bassist Paul Gray. After several lineup changes in its early years, the band settled on nine members for more than a decade: Crahan, Jordison, Gray, Craig ""133"" Jones, Mick Thomson, Corey Taylor, Sid Wilson, Chris Fehn, and Jim Root. Gray died on May 24, 2010, and was replaced during 2011–2014 by guitarist Donnie Steele. <a href=""https://www.last.fm/music/Slipknot"">Read more on Last.fm</a>",3540020,262439585,"['Korn', 'Stone Sour', 'System of a Down', 'Vended', 'Mudvayne']"
Johnny Colon,"Johnny Colon is a latin soul trombonist who arose out of the late 60s Spanish Harlem boogaloo scene into musical prominence after his first hit, the Latin/blues hybrid ""Boogaloo Blues,"" in 1966 for the Cotique label, He recorded 5 more albums including some for the legendary Fania Records before becoming disillusioned with the music industry and it's nefarious rip offs. In 1972, at the height of his recording career, Johnny walked away from his record contracts <a href=""https://www.last.fm/music/Johnny+Colon"">Read more on Last.fm</a>",19302,85041,"['Joey Pastrana', 'Jimmy Sabater', 'Larry Harlow', 'Orchestra Harlow', 'Tipica 73']"
